Node1,Relationship,Node2
9D001,controlledBy,9A101.b
9D001,controlledBy,9A106.d
9D001,controlledBy,9A110
9D001,controlledBy,9A120
9D001,controlledBy,9B604
9D001,controlledBy,9B610
9D001,controlledBy,9B619
9D001,controlledBy,9B990
9D001,controlledBy,9B991
9D002,controlledBy,9D003
9D002,controlledBy,9D004
9D002,controlledBy,9A001
9D002,controlledBy,9A004
9D002,controlledBy,9A012
9D002,controlledBy,9A101
9D002,controlledBy,9A101.b
9D002,controlledBy,9A106.d
9D002,controlledBy,9A110
9D002,controlledBy,9A120
9D002,controlledBy,9B604
9D002,controlledBy,9B610
9D002,controlledBy,9B619
9D002,controlledBy,9B990
9D002,controlledBy,9B991
9D018,controlledBy,9A018
9D101,controlledBy,9B104
9D101,controlledBy,9B105
9D101,controlledBy,9B106
9D101,controlledBy,9B116
9D101,controlledBy,9B117
9D103,controlledBy,9A005
9D103,controlledBy,9A007
9D103,controlledBy,9A009
9D103,controlledBy,9A105
9D103,controlledBy,9A106
9D103,controlledBy,9A107
9D103,controlledBy,9A108
9D103,controlledBy,9A109
9D103,controlledBy,9A116
9D103,controlledBy,9A119
9D104,controlledBy,9A001
9D104,controlledBy,9A012
9D104,controlledBy,9A101
9D104,controlledBy,9A101.b
9D104,controlledBy,9A106.d
9D515.a,controlledBy,9A515
9D515.a,controlledBy,9A515.d
9D515.a,controlledBy,9B515
9D515.b.1,controlledBy,9A515
9D515.b.2,controlledBy,9A515
9D515.b.3,controlledBy,9A515
9D515.b.4,controlledBy,9A515
9D515.b.6,controlledBy,9A515
9D515.d,controlledBy,9A515.d
9D515.e,controlledBy,9A515.e
9D604,controlledBy,9A604
9D604,controlledBy,9B604
9D604.a,controlledBy,9A604
9D604.a,controlledBy,9B604
9D610,controlledBy,9A610
9D610,controlledBy,9B610
9D610,controlledBy,9C610
9D610.a,controlledBy,9A610
9D610.a,controlledBy,9B610
9D610.a,controlledBy,9C610
9D610.b.6,controlledBy,9A610.a
9D610.b.7,controlledBy,9A610.a
9D619,controlledBy,9A619
9D619,controlledBy,9B619
9D619,controlledBy,9C619
9D619.a,controlledBy,9A619
9D619.a,controlledBy,9A619.y
9D619.a,controlledBy,9B619
9D619.a,controlledBy,9B619.y
9D619.a,controlledBy,9C619,
9D990,controlledBy,9A990
9D990,controlledBy,9B990
9D991,controlledBy,9A991
9D991,controlledBy,9B991
9E001,controlledBy,9A004
9E001,controlledBy,9A012
9E001,controlledBy,9B604
9E001,controlledBy,9B610
9E001,controlledBy,9B619
9E001,controlledBy,9B990
9E001,controlledBy,9B991
9E001,controlledBy,9D001
9E001,controlledBy,9D004
9E001,controlledBy,9D101
9E001,controlledBy,9D104
9E002,controlledBy,9A004
9E002,controlledBy,9B117
9E002,controlledBy,9B604
9E002,controlledBy,9B610
9E002,controlledBy,9B619
9E002,controlledBy,9B990
9E002,controlledBy,9B991
9E003.a.3.b.1.a,controlledBy,1C007
9E003.a.3.c.3,controlledBy,1C010.e
9E003.a.3.c.3,controlledBy,1C008
9E003.a.8,controlledBy,1C002.b
9E003.f.1,controlledBy,1C007
9E018,controlledBy,9A018
9E101,controlledBy,9A012
9E101,controlledBy,9A101
9E101,controlledBy,9A101.b
9E101,controlledBy,9A106.d
9E101,controlledBy,9A110
9E101,controlledBy,9C110
9E101,controlledBy,9D101
9E101,controlledBy,9A012
9E101,controlledBy,9A101
9E101,controlledBy,9A101.b
9E101,controlledBy,9A106.d
9E101,controlledBy,9A110
9E101,controlledBy,9C110
9E101,controlledBy,9D101
9E101,controlledBy,9D104
9E102,controlledBy,9A004
9E102,controlledBy,9A012
9E102,controlledBy,9A101
